Zone,Hour,DayType,DayOfWeek,Weather,Temperature,Humidity,Demand
Junwani,13,Weekday,0,Clear,31,66,37.0
Junwani,15,Weekday,3,Rain,37,83,42.7
Power House,1,Weekday,4,Clear,41,45,4.8
Sector 9,4,Weekday,3,Clear,20,76,3.6
Durg Station,1,Weekday,4,Rain,30,76,8.4
Nehru Nagar,14,Weekday,4,Cloudy,22,79,35.2
Sector 10,5,Weekday,0,Thunderstorm,23,45,13.0
Sector 6,6,Weekday,2,Thunderstorm,22,70,33.3
Supela,9,Weekend,5,Rain,35,52,65.9
Sector 10,2,Weekday,1,Clear,34,91,3.1
Junwani,17,Weekday,1,Cloudy,35,50,50.2
Junwani,10,Weekday,3,Heavy Rain,30,71,50.5
Sector 4,2,Weekday,4,Clear,41,45,3.6
Junwani,8,Weekday,4,Fog,13,63,46.2
Civic Center,19,Weekend,6,Fog,15,68,63.3
Bhilai 3,2,Weekday,2,Clear,42,93,4.5
Sector 9,7,Weekday,0,Clear,42,59,38.0
Sector 3,23,Weekday,4,Clear,41,45,12.9
Supela,5,Weekday,2,Clear,31,77,15.0
Junwani,6,Weekend,6,Clear,32,36,21.5
Kohka,18,Weekday,3,Rain,36,69,63.4
Smriti Nagar,13,Weekend,5,Cloudy,34,42,35.3
Sector 2,20,Weekday,0,Thunderstorm,23,45,66.9
Supela,11,Weekday,0,Clear,32,74,51.4
Smriti Nagar,9,Weekday,3,Rain,20,79,68.7
Sector 9,14,Weekend,5,Cloudy,35,52,23.5
Sector 5,18,Weekday,2,Clear,21,66,34.9
Sector 6,9,Weekend,6,Cloudy,39,74,36.7
Sector 9,16,Weekday,2,Clear,21,66,39.8
Sector 4,13,Weekday,3,Thunderstorm,35,66,45.3
Durg Station,22,Weekday,0,Fog,20,31,26.0
Sector 5,20,Weekday,1,Heavy Rain,31,75,49.6
Sector 5,0,Weekend,5,Thunderstorm,31,37,6.9
Sector 3,13,Weekday,0,Cloudy,20,62,34.3
Sector 6,11,Weekday,3,Rain,35,36,42.2
Civic Center,22,Weekday,1,Cloudy,35,50,28.0
Sector 7,5,Weekday,3,Thunderstorm,37,70,19.4
Durg Station,9,Weekday,2,Clear,36,47,69.3
Sector 10,4,Weekday,3,Rain,14,37,4.4
Kohka,12,Weekday,2,Thunderstorm,40,42,49.8
Sector 10,17,Weekday,4,Cloudy,22,79,47.3
Sector 1,11,Weekday,4,Fog,13,63,42.6
Sector 7,20,Weekday,2,Rain,42,93,53.8
Durg Station,23,Weekday,4,Heavy Rain,25,51,26.0
Sector 1,6,Weekday,1,Fog,22,42,24.0
Sector 5,1,Weekday,0,Rain,33,85,5.2
Civic Center,16,Weekday,3,Rain,36,69,82.6
Kohka,4,Weekday,4,Clear,25,42,3.1
Sector 4,7,Weekday,3,Cloudy,37,83,34.2
Sector 2,6,Weekday,0,Fog,20,31,20.1
Power House,11,Weekend,5,Cloudy,32,36,26.6
Padmanabhpur,1,Weekend,5,Thunderstorm,37,81,6.6
Sector 10,20,Weekday,0,Rain,38,36,32.2
Sector 10,16,Weekday,0,Rain,33,85,43.5
Sector 8,5,Weekday,0,Cloudy,20,62,10.9
Padmanabhpur,2,Weekend,5,Rain,36,41,4.5
Sector 9,8,Weekday,3,Thunderstorm,30,71,72.2
Smriti Nagar,2,Weekday,2,Cloudy,20,34,4.2
Sector 7,1,Weekday,4,Rain,35,62,8.4
Sector 10,14,Weekday,0,Cloudy,20,62,28.0
Sector 1,14,Weekday,2,Clear,21,66,41.6
Sector 7,1,Weekday,4,Clear,27,52,5.6
Sector 6,15,Weekday,3,Fog,14,37,33.8
Sector 4,21,Weekday,2,Cloudy,36,95,25.3
Sector 5,4,Weekday,4,Clear,31,48,3.8
Durg Station,0,Weekday,3,Rain,31,46,17.0
Sector 5,0,Weekday,3,Cloudy,39,85,6.5
Sector 9,8,Weekday,1,Fog,22,42,40.2
Sector 5,5,Weekday,4,Rain,30,76,7.6
Sector 10,1,Weekend,6,Cloudy,39,74,2.5
Civic Center,8,Weekday,3,Thunderstorm,35,66,111.8
Padmanabhpur,20,Weekday,2,Clear,23,34,44.6
Sector 10,14,Weekday,1,Thunderstorm,35,50,43.2
Sector 8,11,Weekend,5,Cloudy,32,83,27.0
Sector 4,18,Weekday,3,Fog,20,76,54.9
Junwani,3,Weekday,2,Heavy Rain,31,77,5.2
Sector 3,9,Weekday,1,Heavy Rain,23,49,44.7
Sector 6,2,Weekday,1,Cloudy,24,45,4.9
Sector 2,20,Weekday,0,Rain,20,31,54.6
Civic Center,13,Weekday,0,Heavy Rain,25,70,69.4
Sector 5,11,Weekday,2,Cloudy,34,48,33.5
Smriti Nagar,2,Weekday,4,Rain,30,76,4.6
Sector 2,17,Weekday,2,Rain,34,82,58.2
Junwani,20,Weekday,1,Cloudy,38,47,39.4
Supela,11,Weekday,4,Clear,25,42,31.3
Sector 10,16,Weekday,3,Thunderstorm,35,66,56.2
Sector 6,11,Weekday,1,Cloudy,32,44,32.8
Sector 8,14,Weekday,4,Rain,35,62,40.1
Power House,8,Weekend,5,Heavy Rain,35,52,64.9
Sector 2,8,Weekday,3,Rain,35,36,79.5
Sector 7,1,Weekday,3,Fog,31,64,4.6
Kohka,19,Weekend,5,Rain,36,41,63.8
Sector 10,22,Weekend,6,Rain,23,84,24.3
Junwani,4,Weekend,5,Rain,36,41,4.5
Sector 5,15,Weekend,5,Rain,36,41,28.9
Nehru Nagar,19,Weekend,5,Cloudy,32,83,67.6
Padmanabhpur,13,Weekday,3,Rain,39,85,49.5
Sector 6,14,Weekday,2,Thunderstorm,40,80,60.6
Civic Center,9,Weekday,4,Thunderstorm,41,45,73.9
Power House,9,Weekday,0,Heavy Rain,30,67,69.8
Civic Center,2,Weekday,0,Cloudy,20,62,5.2
Sector 8,17,Weekday,2,Cloudy,40,42,62.7
Nehru Nagar,22,Weekend,5,Heavy Rain,27,74,43.1
Supela,12,Weekday,1,Thunderstorm,35,71,95.5
Sector 9,22,Weekend,5,Cloudy,32,36,17.5
Sector 10,4,Weekday,2,Rain,42,93,4.3
Sector 9,0,Weekday,4,Clear,41,45,7.4
Smriti Nagar,2,Weekday,2,Thunderstorm,40,80,5.9
Nehru Nagar,4,Weekend,6,Heavy Rain,38,39,5.0
Padmanabhpur,9,Weekday,1,Cloudy,35,50,48.3
Padmanabhpur,18,Weekday,2,Cloudy,34,48,68.6
Power House,14,Weekday,3,Fog,14,37,24.1
Padmanabhpur,11,Weekday,1,Cloudy,23,49,35.8
Sector 6,10,Weekend,6,Rain,32,36,46.1
Junwani,10,Weekday,2,Rain,42,93,50.0
Sector 3,17,Weekday,0,Clear,32,74,51.2
Durg Station,3,Weekday,4,Clear,38,35,5.1
Sector 4,18,Weekday,4,Cloudy,22,79,46.9
Sector 7,11,Weekday,2,Rain,34,82,44.5
Junwani,0,Weekday,0,Heavy Rain,30,67,11.4
Power House,23,Weekday,3,Fog,14,37,9.2
Bhilai 3,15,Weekday,1,Cloudy,32,44,45.2
Power House,20,Weekday,3,Rain,35,36,31.4
Power House,19,Weekday,1,Cloudy,38,47,50.7
Sector 2,11,Weekday,3,Rain,31,46,45.5
Kohka,4,Weekend,5,Cloudy,32,36,2.7
Sector 4,9,Weekend,6,Rain,21,31,35.0
Sector 9,21,Weekend,6,Heavy Rain,38,39,48.6
Civic Center,8,Weekend,5,Clear,40,88,54.4
Sector 9,11,Weekday,4,Rain,31,82,31.3
Kohka,3,Weekday,1,Cloudy,35,50,2.5
Padmanabhpur,12,Weekday,3,Rain,36,69,55.5
Sector 10,17,Weekday,0,Clear,31,66,37.5
Sector 5,7,Weekday,3,Thunderstorm,37,70,44.7
Sector 8,22,Weekday,0,Clear,13,59,22.1
Sector 6,22,Weekend,5,Clear,40,88,26.4
Padmanabhpur,19,Weekend,5,Cloudy,34,42,71.2
Sector 10,2,Weekday,2,Clear,27,64,3.8
Sector 8,17,Weekend,6,Fog,19,52,55.1
Sector 5,0,Weekend,6,Thunderstorm,35,59,10.7
Padmanabhpur,21,Weekday,0,Thunderstorm,40,43,44.2
Durg Station,7,Weekday,0,Fog,20,31,46.4
Smriti Nagar,0,Weekend,5,Rain,36,41,6.6
Bhilai 3,6,Weekend,5,Fog,20,95,20.6
Supela,7,Weekday,4,Clear,25,42,50.7
Sector 9,7,Weekday,0,Thunderstorm,23,45,49.5
Sector 10,15,Weekday,3,Fog,14,37,23.8
Sector 4,19,Weekend,6,Cloudy,21,31,59.3
Sector 3,5,Weekday,3,Rain,39,85,13.7
Sector 10,11,Weekday,3,Cloudy,31,64,30.1
Supela,4,Weekday,3,Clear,20,76,6.0
Junwani,16,Weekday,4,Clear,41,45,32.4
Sector 9,22,Weekday,4,Thunderstorm,22,79,25.9
Sector 3,15,Weekday,2,Rain,42,93,45.5
Civic Center,4,Weekday,0,Heavy Rain,25,70,7.9
Power House,14,Weekday,3,Cloudy,31,64,22.5
Sector 4,7,Weekday,0,Cloudy,20,62,36.8
Padmanabhpur,9,Weekday,4,Thunderstorm,41,45,62.9
Kohka,8,Weekday,1,Cloudy,24,45,46.5
Sector 4,4,Weekday,4,Cloudy,38,35,4.3
Civic Center,17,Weekend,6,Thunderstorm,35,59,146.2
Sector 6,3,Weekday,1,Cloudy,31,75,4.4
Smriti Nagar,14,Weekday,0,Thunderstorm,40,43,50.7
Durg Station,4,Weekday,1,Fog,22,42,5.8
Sector 6,1,Weekday,2,Rain,36,47,8.5
Sector 1,19,Weekday,0,Rain,38,36,74.9
Power House,20,Weekday,3,Rain,35,66,38.3
Smriti Nagar,16,Weekday,4,Clear,25,42,37.7
Civic Center,14,Weekend,6,Fog,19,52,37.1
Junwani,2,Weekday,4,Cloudy,25,51,4.5
Sector 5,15,Weekday,1,Fog,38,47,23.6
Padmanabhpur,23,Weekday,2,Rain,34,82,23.4
Durg Station,10,Weekday,4,Cloudy,25,51,53.1
Durg Station,19,Weekday,1,Rain,28,43,113.4
Sector 8,2,Weekend,6,Thunderstorm,35,59,5.2
Padmanabhpur,21,Weekday,1,Cloudy,35,50,34.7
Sector 9,22,Weekday,2,Cloudy,21,66,19.3
Sector 9,12,Weekday,0,Clear,32,74,38.5
Sector 7,21,Weekday,1,Fog,18,94,23.8
Civic Center,13,Weekday,0,Rain,33,85,47.7
Civic Center,1,Weekday,4,Cloudy,22,79,7.5
Sector 7,1,Weekday,2,Clear,40,42,6.1
Sector 6,16,Weekend,5,Clear,27,74,41.3
Sector 3,12,Weekday,3,Heavy Rain,30,71,64.8
Sector 5,12,Weekend,6,Rain,21,31,23.2
Bhilai 3,14,Weekday,2,Clear,36,47,33.8
Bhilai 3,17,Weekend,5,Thunderstorm,31,37,68.2
Sector 6,9,Weekend,5,Thunderstorm,31,37,56.2
Sector 3,20,Weekday,3,Rain,37,83,54.0
Padmanabhpur,16,Weekend,6,Rain,21,31,53.6
Sector 6,7,Weekend,6,Thunderstorm,15,68,49.6
Smriti Nagar,2,Weekday,4,Thunderstorm,27,61,5.6
Sector 2,18,Weekend,5,Clear,20,95,67.8
Sector 9,6,Weekend,5,Cloudy,34,42,18.9
Sector 9,2,Weekend,6,Rain,21,31,3.5
Supela,5,Weekday,3,Cloudy,31,64,15.4
Sector 5,9,Weekend,6,Fog,19,52,23.7
Sector 7,9,Weekend,5,Fog,20,95,37.0
Civic Center,13,Weekend,5,Rain,36,41,49.5
Junwani,19,Weekday,0,Heavy Rain,20,62,70.4
Padmanabhpur,19,Weekday,0,Fog,20,31,41.7
Power House,3,Weekday,2,Heavy Rain,31,77,4.9
Sector 4,12,Weekday,1,Cloudy,23,49,43.9
Civic Center,13,Weekday,3,Cloudy,30,71,50.3
Sector 2,9,Weekend,5,Clear,27,74,48.1
Sector 6,0,Weekday,1,Rain,20,88,10.0
Junwani,20,Weekday,0,Heavy Rain,25,70,54.8
Supela,19,Weekday,1,Fog,18,94,75.3
Sector 5,7,Weekday,0,Cloudy,32,74,28.8
Supela,21,Weekday,3,Rain,31,46,40.0
Sector 9,5,Weekday,0,Clear,42,59,10.5
Sector 5,18,Weekend,6,Clear,23,87,51.6
Sector 5,7,Weekday,2,Clear,27,64,32.8
Sector 7,20,Weekend,6,Clear,32,36,60.7
Durg Station,19,Weekday,1,Clear,21,52,70.8
Civic Center,5,Weekend,6,Rain,21,85,16.7
Civic Center,18,Weekday,1,Rain,35,71,94.3
Power House,19,Weekday,0,Clear,41,37,47.0
Sector 10,13,Weekday,1,Rain,20,88,32.5
Sector 1,16,Weekday,2,Rain,42,93,64.1
Sector 6,18,Weekday,2,Cloudy,36,95,56.8
Padmanabhpur,22,Weekend,5,Thunderstorm,37,81,41.0
Sector 7,23,Weekday,4,Rain,30,76,20.2
Padmanabhpur,14,Weekday,4,Rain,34,60,42.2
Smriti Nagar,14,Weekday,2,Clear,23,34,37.3
Sector 9,10,Weekday,0,Thunderstorm,23,45,46.4
Bhilai 3,11,Weekend,5,Clear,40,88,30.2
Supela,19,Weekday,1,Cloudy,38,47,77.0
Sector 6,5,Weekday,1,Cloudy,24,45,11.1
Sector 9,22,Weekday,2,Clear,20,34,20.9
Smriti Nagar,1,Weekday,4,Clear,25,42,5.5
Padmanabhpur,6,Weekend,5,Thunderstorm,37,81,32.6
Sector 9,6,Weekday,3,Rain,39,85,23.8
Civic Center,5,Weekend,5,Clear,27,74,12.5
Civic Center,4,Weekday,4,Thunderstorm,30,76,10.7
Sector 6,6,Weekday,1,Heavy Rain,31,75,31.8
Kohka,0,Weekday,3,Cloudy,25,85,5.0
Durg Station,23,Weekday,2,Cloudy,34,48,16.9
Sector 1,19,Weekday,1,Cloudy,35,71,65.6
Sector 4,8,Weekend,6,Clear,32,36,39.4
Power House,16,Weekend,6,Cloudy,41,89,30.2
Sector 10,0,Weekday,4,Thunderstorm,27,61,8.3
Padmanabhpur,8,Weekday,4,Fog,13,63,46.9
Junwani,9,Weekday,1,Heavy Rain,35,71,72.6
Sector 6,0,Weekend,5,Rain,24,59,7.7
Junwani,23,Weekday,3,Rain,31,46,19.6
Sector 2,21,Weekend,6,Heavy Rain,38,39,44.1
Sector 3,10,Weekend,6,Heavy Rain,21,31,44.8
Sector 10,14,Weekend,6,Thunderstorm,32,36,34.1
Power House,9,Weekend,6,Fog,19,52,22.8
Nehru Nagar,17,Weekend,5,Rain,34,42,93.5
Junwani,12,Weekday,1,Heavy Rain,31,75,44.8
Supela,16,Weekday,1,Cloudy,23,49,52.8
Sector 4,17,Weekend,6,Cloudy,41,89,54.9
Sector 3,23,Weekday,2,Rain,42,93,17.9
Sector 10,4,Weekday,2,Clear,21,66,3.6
Kohka,22,Weekend,5,Cloudy,34,42,18.8
Power House,12,Weekend,6,Fog,15,68,29.5
Sector 3,22,Weekday,3,Fog,20,76,15.7
Sector 7,12,Weekend,5,Clear,27,74,38.4
Sector 10,6,Weekday,2,Clear,23,34,18.6
Nehru Nagar,1,Weekday,1,Rain,20,88,7.9
Durg Station,4,Weekend,6,Rain,21,85,6.2
Durg Station,12,Weekend,5,Fog,20,95,44.2
Sector 5,18,Weekday,4,Fog,13,63,40.3
Nehru Nagar,9,Weekend,6,Fog,15,68,44.6
Smriti Nagar,15,Weekday,1,Cloudy,35,50,37.2
Civic Center,1,Weekday,3,Thunderstorm,30,71,10.5
Power House,12,Weekend,5,Thunderstorm,37,81,39.5
Sector 4,19,Weekday,2,Rain,34,82,52.7
Sector 8,15,Weekday,0,Heavy Rain,25,70,56.6
Supela,14,Weekday,0,Rain,38,36,65.4
Sector 7,9,Weekday,1,Heavy Rain,31,75,85.3
Junwani,12,Weekday,4,Clear,25,42,40.8
Sector 9,10,Weekday,2,Rain,34,82,46.1
Kohka,22,Weekday,3,Rain,31,46,21.5
Sector 10,5,Weekday,4,Rain,35,62,12.0
Bhilai 3,21,Weekday,1,Thunderstorm,35,71,48.0
Nehru Nagar,20,Weekday,1,Thunderstorm,35,71,54.6
Nehru Nagar,9,Weekday,0,Thunderstorm,23,45,100.6
Sector 2,15,Weekday,4,Rain,34,60,47.3
Padmanabhpur,21,Weekend,5,Thunderstorm,31,37,58.7
Nehru Nagar,2,Weekend,5,Fog,20,95,4.1
Sector 5,0,Weekday,1,Cloudy,32,44,7.5
Sector 1,2,Weekday,1,Cloudy,32,44,5.0
Sector 4,17,Weekday,2,Thunderstorm,40,80,73.1
Sector 10,7,Weekday,4,Clear,25,42,30.0
Smriti Nagar,17,Weekend,5,Cloudy,32,83,65.4
Sector 4,14,Weekday,2,Clear,36,47,28.9
Supela,1,Weekday,3,Rain,36,69,7.4
Power House,16,Weekday,4,Clear,25,42,37.8
Sector 2,3,Weekday,1,Rain,20,88,3.4
Nehru Nagar,11,Weekday,0,Rain,33,85,56.3
Kohka,23,Weekday,0,Fog,13,59,9.6
Sector 5,5,Weekday,3,Thunderstorm,35,66,10.6
Sector 9,20,Weekend,6,Fog,15,68,31.7
Sector 7,15,Weekend,6,Rain,21,85,41.2
Nehru Nagar,10,Weekday,2,Rain,42,93,61.3
Sector 4,9,Weekend,6,Clear,23,87,34.1
Sector 1,17,Weekday,2,Thunderstorm,22,70,123.5
Sector 4,12,Weekday,2,Cloudy,34,48,34.8
Sector 10,15,Weekday,4,Clear,27,52,30.3
Sector 5,0,Weekend,5,Cloudy,32,36,4.4
Durg Station,9,Weekday,1,Fog,22,42,67.9
Power House,2,Weekend,5,Clear,30,67,3.2
Sector 2,19,Weekday,0,Heavy Rain,25,70,92.1
Junwani,20,Weekday,4,Fog,13,63,32.8
Junwani,2,Weekday,1,Cloudy,35,50,3.8
Supela,16,Weekday,4,Rain,34,60,87.7
Bhilai 3,9,Weekend,6,Fog,15,68,36.8
Sector 1,8,Weekday,4,Cloudy,35,62,59.7
Padmanabhpur,9,Weekend,6,Clear,32,36,50.7
Sector 10,14,Weekday,2,Thunderstorm,22,70,37.6
Sector 1,2,Weekend,5,Clear,27,74,4.9
Durg Station,22,Weekday,1,Fog,18,94,25.5
Sector 10,14,Weekday,3,Rain,36,69,29.9
Supela,5,Weekday,1,Clear,34,91,15.7
Bhilai 3,14,Weekday,0,Cloudy,31,66,39.2
Sector 10,0,Weekday,3,Heavy Rain,30,71,10.2
Sector 2,22,Weekend,5,Heavy Rain,27,74,37.8
Supela,3,Weekday,2,Thunderstorm,40,80,5.7
Sector 5,1,Weekend,6,Thunderstorm,35,59,6.3
Kohka,6,Weekday,2,Clear,31,77,20.2
Civic Center,16,Weekday,0,Thunderstorm,23,45,81.1
Junwani,6,Weekend,5,Cloudy,35,52,24.5
Sector 2,15,Weekday,0,Fog,20,31,33.0
Sector 4,18,Weekday,1,Cloudy,24,45,52.2
Sector 10,10,Weekday,2,Cloudy,36,95,30.9
Nehru Nagar,1,Weekday,2,Cloudy,34,48,6.8
Padmanabhpur,12,Weekday,1,Fog,18,94,38.5
Sector 1,4,Weekend,6,Rain,21,85,6.4
Sector 8,12,Weekday,2,Rain,40,80,46.7
Sector 10,6,Weekday,2,Rain,40,42,23.3
Padmanabhpur,14,Weekday,1,Clear,34,91,36.0
Sector 6,13,Weekday,2,Cloudy,36,95,34.4
Supela,13,Weekday,1,Heavy Rain,31,75,76.8
Sector 3,19,Weekday,0,Fog,13,59,37.9
Sector 5,21,Weekend,6,Fog,15,68,22.8
Sector 6,1,Weekday,4,Cloudy,25,51,5.1
Sector 1,0,Weekend,6,Clear,23,87,8.5
Durg Station,0,Weekend,6,Cloudy,39,74,8.4
Sector 8,6,Weekend,5,Clear,40,88,20.1
Padmanabhpur,7,Weekday,3,Rain,36,69,51.0
Civic Center,5,Weekday,0,Clear,32,74,12.5
Sector 2,22,Weekend,6,Rain,21,31,28.7
Power House,2,Weekday,2,Clear,31,77,3.1
Sector 3,3,Weekday,1,Rain,20,88,4.6
Sector 3,23,Weekday,3,Cloudy,31,64,13.8
Sector 5,18,Weekday,3,Thunderstorm,37,70,80.6
Sector 3,23,Weekend,5,Rain,36,41,14.5
Sector 7,14,Weekday,3,Thunderstorm,30,71,58.6
Smriti Nagar,11,Weekday,0,Fog,20,31,23.6
Civic Center,22,Weekday,4,Cloudy,25,51,32.1
Padmanabhpur,2,Weekday,2,Clear,21,66,4.2
Sector 6,1,Weekday,2,Rain,34,82,8.2
Kohka,20,Weekday,4,Rain,25,51,49.6
Sector 6,8,Weekday,0,Heavy Rain,25,70,82.5
Durg Station,8,Weekday,2,Thunderstorm,22,70,125.6
Junwani,22,Weekday,0,Fog,20,31,18.2
Sector 8,22,Weekday,3,Fog,20,76,18.3
Sector 5,21,Weekday,4,Clear,25,42,21.2
Sector 5,8,Weekend,5,Cloudy,32,36,41.2
Civic Center,19,Weekday,1,Clear,34,91,65.8
Supela,18,Weekday,2,Rain,34,82,101.8
Sector 2,13,Weekend,6,Clear,32,36,34.1
Sector 3,15,Weekday,2,Thunderstorm,22,70,68.6
Sector 7,18,Weekday,1,Rain,35,71,80.1
Sector 10,1,Weekday,4,Rain,34,60,4.5
Sector 4,19,Weekday,2,Rain,40,42,46.9
Nehru Nagar,2,Weekday,4,Clear,25,42,4.3
Durg Station,23,Weekend,5,Thunderstorm,37,81,27.5
Bhilai 3,19,Weekend,6,Cloudy,21,31,54.9
Padmanabhpur,6,Weekend,6,Thunderstorm,41,89,37.8
Junwani,2,Weekday,0,Clear,32,74,3.3
Smriti Nagar,16,Weekday,2,Clear,31,77,39.6
Sector 6,2,Weekday,1,Cloudy,38,47,4.7
Sector 5,20,Weekday,4,Rain,25,51,44.1
Sector 2,5,Weekday,2,Clear,23,34,12.2
Sector 3,1,Weekday,1,Clear,21,52,5.7
Civic Center,19,Weekend,5,Thunderstorm,37,81,137.5
Smriti Nagar,17,Weekday,4,Rain,31,82,68.7
Junwani,3,Weekend,6,Thunderstorm,35,59,3.6
Sector 1,9,Weekday,4,Clear,27,52,60.3
Smriti Nagar,9,Weekday,0,Fog,13,59,37.8
Civic Center,21,Weekday,1,Cloudy,38,47,49.4
Sector 5,2,Weekend,5,Thunderstorm,32,83,4.2
Sector 1,20,Weekend,6,Clear,32,36,55.4
Bhilai 3,1,Weekday,0,Cloudy,31,66,5.8
Civic Center,19,Weekday,0,Fog,20,31,61.1
Padmanabhpur,7,Weekday,0,Fog,20,31,34.7
Durg Station,5,Weekend,6,Clear,23,87,12.2
Durg Station,13,Weekday,2,Rain,40,42,67.9
Sector 6,9,Weekday,3,Rain,20,79,60.5
Bhilai 3,18,Weekday,0,Rain,32,74,58.3
Sector 10,2,Weekday,4,Cloudy,25,51,3.2
Padmanabhpur,19,Weekend,6,Rain,23,84,71.9
Bhilai 3,19,Weekend,5,Clear,27,74,60.5
Durg Station,18,Weekday,3,Clear,25,85,79.3
Kohka,7,Weekday,4,Rain,30,76,45.3
Nehru Nagar,6,Weekend,5,Rain,24,59,28.7
Sector 8,19,Weekday,4,Clear,31,48,43.1
Sector 5,0,Weekday,3,Cloudy,25,85,6.9
Smriti Nagar,22,Weekday,0,Heavy Rain,25,70,29.5
Sector 3,13,Weekday,4,Rain,27,61,35.7
Power House,0,Weekday,4,Clear,38,35,8.1
Sector 3,5,Weekend,5,Cloudy,35,52,9.3
Sector 9,14,Weekday,0,Rain,38,36,35.1
Power House,16,Weekend,6,Clear,39,74,29.7
Sector 5,4,Weekend,5,Clear,30,67,3.1
Sector 9,11,Weekend,6,Fog,15,68,23.3
Kohka,13,Weekday,2,Thunderstorm,40,80,55.3
Sector 5,20,Weekend,6,Clear,32,36,33.8
Sector 7,1,Weekend,5,Fog,15,76,3.8
Sector 5,9,Weekday,1,Cloudy,24,45,46.2
Sector 6,15,Weekday,2,Rain,42,93,46.6
Sector 4,5,Weekday,1,Thunderstorm,35,71,20.2
Sector 3,10,Weekend,5,Cloudy,34,42,33.8
Sector 4,13,Weekday,4,Fog,13,63,24.2
Junwani,18,Weekday,1,Cloudy,38,47,59.3
Civic Center,12,Weekday,3,Fog,20,76,54.0
Sector 3,19,Weekday,2,Rain,34,82,69.9
Nehru Nagar,0,Weekday,4,Rain,31,82,12.8
Nehru Nagar,6,Weekday,3,Cloudy,31,64,26.3
Civic Center,14,Weekday,1,Cloudy,23,49,42.7
Padmanabhpur,21,Weekday,3,Rain,36,69,48.1
Sector 9,22,Weekday,4,Cloudy,25,51,18.2
Power House,5,Weekend,6,Clear,32,36,7.0
Sector 1,17,Weekday,0,Clear,42,59,64.6
Bhilai 3,23,Weekday,4,Clear,41,45,14.3
Civic Center,23,Weekday,0,Fog,20,31,16.8
Kohka,4,Weekday,3,Rain,35,36,4.3
Nehru Nagar,13,Weekday,2,Cloudy,36,95,49.2
Kohka,18,Weekend,5,Cloudy,32,83,56.2
Junwani,14,Weekday,1,Cloudy,32,44,38.5
Sector 6,2,Weekday,1,Cloudy,35,50,5.0
Sector 2,11,Weekday,4,Rain,35,62,54.6
Durg Station,12,Weekend,5,Rain,24,59,51.8
Junwani,11,Weekday,1,Thunderstorm,35,71,53.6
Sector 8,13,Weekend,5,Thunderstorm,37,81,41.0
Sector 6,19,Weekday,4,Cloudy,25,51,41.1
Supela,18,Weekday,2,Fog,27,64,58.9
Sector 2,18,Weekday,3,Rain,39,85,80.3
Junwani,0,Weekday,0,Cloudy,31,66,8.6
Sector 4,17,Weekend,5,Clear,27,74,44.5
Sector 7,23,Weekday,4,Heavy Rain,25,51,20.4
Sector 3,15,Weekend,5,Rain,31,37,41.2
Sector 8,11,Weekday,1,Cloudy,23,49,32.8
Kohka,21,Weekday,0,Cloudy,23,45,23.0
Sector 7,6,Weekend,5,Rain,24,59,27.2
Nehru Nagar,14,Weekday,4,Rain,35,62,41.8
Nehru Nagar,16,Weekday,0,Clear,42,59,53.0
Sector 2,3,Weekday,1,Rain,28,43,4.1
Kohka,18,Weekday,0,Cloudy,41,37,43.2
Kohka,5,Weekday,4,Cloudy,25,51,5.3
Sector 7,22,Weekday,2,Thunderstorm,40,80,37.6
Bhilai 3,8,Weekday,1,Cloudy,24,45,57.9
Sector 7,18,Weekday,2,Rain,40,80,82.4
Kohka,15,Weekday,0,Fog,20,31,24.3
Junwani,0,Weekday,2,Rain,42,93,8.2
Sector 9,23,Weekend,5,Fog,20,95,8.5
Nehru Nagar,20,Weekday,1,Fog,34,91,38.5
Sector 1,2,Weekday,0,Fog,23,45,4.0
Sector 5,3,Weekday,2,Thunderstorm,22,70,4.2
Sector 9,0,Weekday,1,Fog,18,94,5.2
Sector 8,5,Weekday,3,Rain,39,85,13.9
Civic Center,7,Weekday,4,Rain,31,82,85.9
Nehru Nagar,23,Weekday,1,Clear,34,91,14.6
Durg Station,19,Weekday,2,Clear,36,47,65.6
Sector 9,8,Weekday,0,Heavy Rain,25,70,62.6
Sector 1,5,Weekend,5,Thunderstorm,37,81,14.9
Sector 7,6,Weekday,2,Clear,36,47,25.0
Sector 6,12,Weekday,4,Rain,35,62,49.8
Sector 2,6,Weekend,5,Cloudy,35,52,18.7
Sector 5,15,Weekday,2,Thunderstorm,22,70,33.1
Sector 9,18,Weekday,3,Rain,39,85,65.0
Kohka,18,Weekday,2,Clear,23,34,47.0
Durg Station,0,Weekday,4,Clear,27,52,11.1
Bhilai 3,3,Weekday,1,Cloudy,24,45,3.3
Bhilai 3,14,Weekend,6,Clear,23,87,25.9
Sector 1,23,Weekday,4,Clear,41,45,18.0
Sector 6,8,Weekday,2,Fog,34,82,39.3
Durg Station,0,Weekday,2,Rain,42,93,13.8
Smriti Nagar,18,Weekday,2,Clear,31,77,66.2
Nehru Nagar,15,Weekend,6,Clear,33,61,37.8
Padmanabhpur,16,Weekend,5,Cloudy,35,52,35.3
Bhilai 3,2,Weekday,4,Clear,27,52,3.8
Sector 5,7,Weekend,5,Fog,20,95,19.6
Kohka,10,Weekend,5,Fog,15,76,17.0
Durg Station,19,Weekend,6,Heavy Rain,38,39,100.8
Nehru Nagar,11,Weekend,6,Rain,21,85,44.7
